date,tic,open,high,low,close,volume,macd,boll_ub,boll_lb,rsi_30,cci_30,dx_30,close_30_sma,close_60_sma,turbulence
2025-08-27 14:49:57,AXP,186.93,190.87,182.5,184.56,42276877,0.4599,188.2552,180.8727,74.7986,27.4082,34.3283,175.3358,171.6445,17.3372
2025-08-28 14:49:57,AXP,180.4,186.08,176.07,183.98,46458002,2.561,187.6604,180.3012,78.8667,72.0318,29.0601,174.7817,171.1021,19.5896
2025-08-29 14:49:57,AXP,178.83,186.48,177.42,183.7,49971679,2.5853,187.3764,180.0283,77.2497,4.2842,25.7742,174.5172,170.8432,20.063
2025-08-30 14:49:57,AXP,182.46,189.06,177.68,183.92,21814520,1.3042,187.5958,180.2391,79.2348,101.49,35.8361,174.7216,171.0432,12.6709
2025-08-31 14:49:57,AXP,178.75,188.01,178.26,183.14,24638849,3.7623,186.7984,179.473,80.0036,-3.9639,32.6503,173.9789,170.3162,18.959
2025-09-01 14:49:57,AXP,183.48,187.42,180.37,183.57,37332145,2.3361,187.2419,179.8991,81.7722,-3.797,34.9458,174.392,170.7206,15.3761
2025-09-02 14:49:57,AXP,183.05,187.04,179.09,183.91,25808215,0.6603,187.5907,180.2342,63.6397,71.9425,38.856,174.7168,171.0386,21.8091
2025-09-03 14:49:57,AXP,187.49,189.54,180.22,185.58,19384055,1.6613,189.296,181.8727,72.2679,45.9072,37.5157,176.3051,172.5934,12.1595
2025-09-04 14:49:57,AXP,189.84,190.27,185.03,188.38,18168552,2.2464,192.1437,184.6086,76.3754,43.1229,28.1907,178.9573,175.1898,11.3106
2025-09-05 14:49:57,AXP,189.56,199.12,187.06,188.58,42075558,1.206,192.3535,184.8102,77.0717,18.2442,32.2774,179.1528,175.3811,19.6712
2025-09-06 14:49:57,AXP,186.77,189.48,186.43,188.71,43871436,2.253,192.4828,184.9344,63.1795,20.6502,37.2541,179.2732,175.499,13.2198
2025-09-07 14:49:57,AXP,189.73,194.01,185.16,188.26,36989295,3.4523,192.0264,184.4959,79.5709,-33.6412,30.9916,178.8481,175.0829,11.8815
2025-09-08 14:49:57,AXP,191.8,193.6,184.68,189.18,6153261,1.5467,192.9599,185.3929,61.0495,32.865,35.6879,179.7176,175.9341,6.091
2025-09-09 14:49:57,AXP,189.55,196.83,186.42,190.4,13600862,1.033,194.2114,186.5953,67.782,118.1156,28.9225,180.8832,177.0751,18.9015
2025-09-10 14:49:57,AXP,188.14,193.76,187.32,190.96,5696661,0.5401,194.7832,187.1447,71.3532,80.7818,27.6291,181.4157,177.5965,16.0467
2025-09-11 14:49:57,AXP,189.93,195.77,182.76,191.92,3869055,0.262,195.763,188.086,84.6649,67.0407,26.1438,182.3283,178.4898,11.7077
2025-09-12 14:49:57,AXP,193.21,200.83,183.3,193.5,16284604,0.0317,197.3732,189.6331,74.5749,130.1882,29.5086,183.828,179.958,23.0238
