date,tic,open,high,low,close,volume,macd,boll_ub,boll_lb,rsi_30,cci_30,dx_30,close_30_sma,close_60_sma,turbulence
2025-08-27 14:32:16,AAPL,118.29,120.22,117.02,118.66,35786610,1.3147,121.0285,116.2823,42.5432,-177.0059,14.3532,117.8105,120.8741,15.6843
2025-08-28 14:32:16,AAPL,118.3,120.84,116.74,118.13,44114556,-3.9624,120.4888,115.7637,29.5564,68.5024,30.6819,119.5845,115.4621,21.3164
2025-08-29 14:32:16,AAPL,119.57,121.08,118.52,119.65,34394757,2.3237,122.0399,117.2541,74.9094,-67.3858,37.7596,119.7914,121.1962,14.0657
2025-08-30 14:32:16,AAPL,119.08,123.27,118.7,119.67,29804628,0.4691,122.0656,117.2787,64.2974,18.3435,36.5737,120.7769,117.2792,21.0279
2025-08-31 14:32:16,AAPL,117.02,122.33,114.51,118.88,47109564,3.1061,121.2595,116.5042,73.9782,-170.5772,25.9283,118.8897,117.3755,10.7853
2025-09-01 14:32:16,AAPL,121.96,124.51,120.11,120.71,21125806,0.1042,123.1282,118.2997,74.6414,-100.3887,35.0567,121.5924,116.7057,14.8918
2025-09-02 14:32:16,AAPL,122.32,124.35,119.65,122.41,6126920,0.2451,124.8555,119.9592,27.133,-106.8661,36.4606,123.0466,123.8758,14.9402
2025-09-03 14:32:16,AAPL,126.06,127.86,124.21,124.96,20982093,0.6926,127.4575,122.4592,79.275,41.61,36.03,125.4356,126.6635,16.463
2025-09-04 14:32:16,AAPL,130.08,132.89,129.2,129.32,15239587,-0.1233,131.9115,126.7385,46.7346,-40.6335,22.4421,129.4894,127.5839,15.0406
2025-09-05 14:32:16,AAPL,133.01,133.23,131.37,131.99,9253253,-3.5124,134.6277,129.3482,42.2367,28.7981,15.8059,131.8209,130.5654,10.6857
2025-09-06 14:32:16,AAPL,135.56,136.48,131.62,133.52,34798935,1.943,136.1869,130.8463,42.6137,-29.9663,35.123,135.4977,129.8301,8.9375
2025-09-07 14:32:16,AAPL,136.45,137.28,134.31,134.73,8680271,3.1212,137.4277,132.0384,44.7968,-94.737,28.3733,134.2771,130.2366,11.7613
2025-09-08 14:32:16,AAPL,134.73,135.86,132.24,134.92,47069906,0.2486,137.6215,132.2246,72.5815,-31.0058,14.0808,135.5069,134.0021,13.0316
2025-09-09 14:32:16,AAPL,135.73,136.76,133.31,135.8,38149874,0.4086,138.519,133.0869,77.6654,-253.1126,22.3704,135.6622,132.4884,17.8614
2025-09-10 14:32:16,AAPL,132.99,137.4,130.3,132.37,26644342,3.2169,135.0149,129.7202,52.0386,-37.746,23.9316,133.8565,132.8286,10.2891
2025-09-11 14:32:16,AAPL,127.32,130.43,126.57,130.42,19798917,3.7116,133.0284,127.8116,35.9531,66.5763,32.2007,128.8442,132.5249,20.6863
2025-09-12 14:32:16,AAPL,130.85,136.96,126.37,129.41,28155106,0.0484,131.9982,126.8218,40.1616,-18.7497,13.3917,127.4218,127.5526,12.9494
2025-09-13 14:32:16,AAPL,130.63,134.74,128.58,131.69,32898205,-0.7057,134.3225,129.055,71.6184,11.4896,14.7296,132.9655,131.5217,16.3997
2025-09-14 14:32:16,AAPL,128.28,132.0,126.23,129.22,5746024,0.9657,131.8,126.6314,29.2553,-153.0109,38.066,127.0529,129.3288,13.8621
2025-09-15 14:32:16,AAPL,132.29,133.51,124.64,129.83,19946289,0.8709,132.4225,127.2295,56.4707,25.5346,30.0678,128.6579,135.5013,8.9079
2025-09-16 14:32:16,AAPL,127.13,130.19,124.86,129.12,12211149,-1.2795,131.7,126.5353,29.5427,78.9634,36.0221,129.8263,130.8465,12.715
2025-09-17 14:32:16,AAPL,125.79,128.71,124.52,126.45,34679959,-1.6513,128.9782,123.9203,72.2228,109.2068,24.8425,125.7568,127.9123,16.3169
2025-09-18 14:32:16,AAPL,126.85,130.61,125.79,128.33,14971618,-1.3375,130.897,125.7638,71.5111,24.6814,27.2498,126.6655,128.0093,15.8235
2025-09-19 14:32:16,AAPL,128.15,129.97,125.6,127.06,21028697,1.2314,129.5988,124.5165,42.005,-48.7545,15.2666,126.5387,127.2445,19.9251
2025-09-20 14:32:16,AAPL,131.38,135.31,127.4,127.77,33156291,1.5252,130.3243,125.2135,64.3674,128.2671,34.0089,129.4865,128.1287,19.0774
2025-09-21 14:32:16,AAPL,128.39,131.19,126.33,128.83,38749384,1.1078,131.4116,126.2582,60.6928,-52.9311,24.4334,127.461,128.4889,22.0752
2025-09-22 14:32:16,AAPL,126.55,127.31,124.64,126.66,41629237,-1.7566,129.1973,124.1307,31.0071,91.8544,32.0203,127.2254,123.2977,11.3249
2025-09-23 14:32:16,AAPL,124.41,127.33,124.36,124.64,5864675,1.4174,127.1304,122.1449,65.3923,-165.9512,39.8454,126.1433,123.3468,12.1502
2025-09-24 14:32:16,AAPL,122.73,123.7,121.34,122.48,48403762,1.8984,124.9298,120.0306,34.9107,-78.6939,32.5302,121.9605,124.4233,15.8683
2025-09-25 14:32:16,AAPL,122.42,124.69,120.12,122.6,43927827,1.3181,125.0511,120.1471,29.2576,3.5517,17.1053,123.9288,123.3119,14.4159
2025-09-26 14:32:16,AAPL,122.79,124.3,121.47,122.59,19356284,0.7295,125.0384,120.1349,44.7989,24.9839,37.5722,120.5511,121.3363,10.1225
2025-09-27 14:32:16,AAPL,123.49,124.12,122.69,123.14,44742144,1.5208,125.5979,120.6725,69.23,108.5986,19.8438,123.808,126.8784,21.7141
2025-09-28 14:32:16,AAPL,119.04,120.29,117.57,119.37,11020221,-1.1645,121.7541,116.9795,77.8941,41.2233,38.7126,118.5958,120.3044,14.9157
2025-09-29 14:32:16,AAPL,119.48,121.75,113.27,119.89,7560565,2.669,122.2906,117.4949,21.9682,80.5831,21.5492,119.7039,117.3863,17.8852
2025-09-30 14:32:16,AAPL,119.55,119.87,118.75,119.25,16678066,0.6318,121.6401,116.8699,45.9066,14.0571,14.102,117.0313,118.0297,13.3311
2025-10-01 14:32:16,AAPL,115.76,118.3,111.3,117.16,45104549,-4.0459,119.506,114.8194,54.2416,50.2164,37.477,116.6311,114.6726,9.1875
2025-10-02 14:32:16,AAPL,120.48,120.97,116.26,120.68,9344235,-0.1018,123.0888,118.2618,57.2486,-79.0582,37.4016,121.5162,119.4559,9.8064
2025-10-03 14:32:16,AAPL,120.21,120.22,118.08,119.62,44077095,0.3248,122.0134,117.2286,71.6995,25.1366,22.9575,119.7663,119.7753,15.3484
2025-10-04 14:32:16,AAPL,117.76,119.3,116.41,118.48,27532281,0.9411,120.8537,116.1144,37.2691,-175.3336,12.3086,116.8777,114.6887,23.2593
2025-10-05 14:32:16,AAPL,115.19,117.89,114.4,116.64,17490034,-1.7809,118.9766,114.3108,67.2098,-197.0813,19.5219,115.7637,117.2304,14.4716
2025-10-06 14:32:16,AAPL,120.28,121.31,117.3,117.88,14923053,-0.1362,120.2403,115.525,53.7223,24.0496,22.3303,119.1924,118.9575,22.1329
2025-10-07 14:32:16,AAPL,119.52,121.25,118.04,119.97,44825821,-0.4985,122.3677,117.569,58.3863,249.9863,25.6166,119.7893,118.6262,14.3429
2025-10-08 14:32:16,AAPL,119.72,122.31,119.04,120.7,49263314,-4.1497,123.1125,118.2846,76.5848,66.665,13.5194,121.5372,116.6172,14.97
2025-10-09 14:32:16,AAPL,120.16,123.73,117.73,120.26,19511898,4.1167,122.6639,117.8536,78.9214,84.2225,39.4246,119.9496,115.8983,12.7159
2025-10-10 14:32:16,AAPL,115.22,116.53,113.4,115.1,18363506,-0.2945,117.4057,112.8016,20.3056,14.4902,36.1987,118.4171,115.6749,8.8621
2025-10-11 14:32:16,AAPL,114.66,115.05,111.41,113.02,10268326,1.1143,115.282,110.7611,68.6766,-15.4368,14.9591,112.1844,114.0349,11.784
2025-10-12 14:32:16,AAPL,114.66,115.04,112.99,114.49,1390259,-1.81,116.7766,112.1971,48.733,134.3345,19.6349,115.8762,115.9204,20.442
2025-10-13 14:32:16,AAPL,113.46,115.81,111.61,115.03,18975899,2.0824,117.3292,112.7281,30.5127,-136.0604,10.267,114.4109,113.7533,10.918
2025-10-14 14:32:16,AAPL,113.39,117.57,112.6,114.78,9310709,-0.4761,117.0777,112.4864,46.9074,9.2491,29.6963,114.7851,115.0919,17.5951
2025-10-15 14:32:16,AAPL,117.86,118.21,115.09,116.04,19639109,-1.1033,118.3617,113.7201,37.2851,-50.646,30.4508,117.3298,117.5817,18.4771
2025-10-16 14:32:16,AAPL,118.84,121.46,116.61,119.73,39991265,0.7975,122.1284,117.3391,25.4883,162.8657,28.6456,119.9031,114.3658,13.6727
2025-10-17 14:32:16,AAPL,121.34,121.75,119.53,120.88,3484546,-2.2956,123.301,118.4656,50.4636,-110.6634,25.0282,121.0309,119.1391,18.9587
2025-10-18 14:32:16,AAPL,119.04,120.44,118.01,119.39,46500945,0.3326,121.7747,116.9992,76.3569,-73.768,35.1561,119.2021,117.2819,8.461
2025-10-19 14:32:16,AAPL,120.15,121.17,119.03,120.03,38101720,-0.941,122.4326,117.6313,59.2555,53.4435,28.3653,119.0332,116.7957,13.9715
2025-10-20 14:32:16,AAPL,118.97,121.06,117.22,117.54,33905797,-0.7848,119.8913,115.1897,27.5545,-56.9468,32.5024,115.7651,120.1253,17.4471
2025-10-21 14:32:16,AAPL,120.01,123.17,119.72,119.79,9109504,3.0736,122.1904,117.3986,55.0472,-179.6121,33.2707,120.6262,118.2344,13.5253
2025-10-22 14:32:16,AAPL,122.13,123.5,120.61,121.18,46150685,2.1126,123.6075,118.7602,57.7442,43.6761,20.0407,119.7699,122.3967,14.2479
2025-10-23 14:32:16,AAPL,121.77,122.49,119.89,120.04,4550766,-1.3542,122.4435,117.6418,70.2361,9.8893,25.7242,120.9062,120.9752,14.7657
2025-10-24 14:32:16,AAPL,122.42,122.74,120.86,121.57,14162983,-1.5483,124.0052,119.1423,42.4034,-49.12,30.6228,122.5109,121.9335,5.6725
2025-10-25 14:32:16,AAPL,117.28,118.48,113.51,117.89,40245138,1.0394,120.2479,115.5323,38.2298,289.8961,24.7004,117.6636,120.3786,10.1408
2025-10-26 14:32:16,AAPL,113.16,119.49,112.09,115.13,17449831,0.1095,117.4305,112.8254,52.507,42.088,10.6282,113.2248,115.6048,14.7226
2025-10-27 14:32:16,AAPL,114.08,120.88,113.38,116.18,6224784,-0.5958,118.5069,113.8596,73.3168,62.6819,36.9191,118.1384,113.0343,18.3741
